MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
D01079,臺南市麻豆區176縣道台糖文正加油站對面,2019-04-25,臺南市,麻豆區,臺南市麻豆區176縣道台糖文正加油站對面,手機基地臺,2.13E-05,mW/cm<sup>2</sup>,True
E01250,HE108-05-003 (AM正聲廣播電臺),2019-05-22,高雄市,仁武區,高雄市鳥松區澄清路819號附近,AM廣播電臺,12.05,V/m,True
O01097,新竹市中華路4段與東華路路口落地型變壓器量測,2019-05-13,新竹市,香山區,新竹市中華路4段與東華路路口,落地型變壓器,23,mG,True
A01325,中正區中華路一段198號前方公話亭無線網路,2019-04-23,臺北市,中正區,中華路一段198號,無線區域網路(Wi-Fi),0.001,mW/cm<sup>2</sup>,True
A01324,中正區中華路一段192號前方公話亭無線網路,2019-04-23,臺北市,中正區,中華路一段192號,無線區域網路(Wi-Fi),0.0015,mW/cm<sup>2</sup>,True
A01323,中正區中華路一段180號前方公話亭無線網路,2019-04-23,臺北市,中正區,中華路一段180號,無線區域網路(Wi-Fi),0.0036,mW/cm<sup>2</sup>,True
A01322,中正區中華路一段166號前方公話亭無線網路,2019-04-23,臺北市,中正區,中華路一段166號,無線區域網路(Wi-Fi),0.001,mW/cm<sup>2</sup>,True
A01321,中正區中華路一段158號左前方公話亭無線網路,2019-04-23,臺北市,中正區,中華路一段158號,無線區域網路(Wi-Fi),0.0042,mW/cm<sup>2</sup>,True
A01320,中正區成都路1號前公話亭無線網路,2019-04-23,臺北市,中正區,成都路1號,無線區域網路(Wi-Fi),0.0093,mW/cm<sup>2</sup>,True
A01319,中正區中華路一段150號前公話亭無線網路,2019-04-23,臺北市,中正區,中華路一段150號,無線區域網路(Wi-Fi),0.0009,mW/cm<sup>2</sup>,True
A01318,中正區中華路一段144號之3前公話亭無線網路,2019-04-23,臺北市,中正區,中華路一段144號,無線區域網路(Wi-Fi),0.0005,mW/cm<sup>2</sup>,True
A01317,中正區中華路一段144號之2前公話亭無線網路,2019-04-23,臺北市,中正區,中華路一段144號,無線區域網路(Wi-Fi),0.0007,mW/cm<sup>2</sup>,True
O01096,新竹市牛埔南路102之6號對面落地型變壓器量測,2019-05-15,新竹市,香山區,新竹市牛埔南路102之6號對面,落地型變壓器,3.2,mG,True
N01049,彰化縣彰化市民族路163號（7-11）,2019-04-17,彰化縣,彰化市,民族路163號,無線區域網路(Wi-Fi),0.0011,mW/cm<sup>2</sup>,True
D01070,臺南市關廟區關新路二段567號斜對面,2019-04-18,臺南市,關廟區,臺南市關廟區關新路二段567號斜對面,手機基地臺,2.7E-05,mW/cm<sup>2</sup>,True
D01069,臺南市新化區省道20號跟省道39號交叉路口,2019-04-18,臺南市,新化區,臺南市新化區省道20號跟省道39號交叉路口,手機基地臺,9.9E-06,mW/cm<sup>2</sup>,True
O01089,新竹市中華路與香山聯絡道落地型變壓器量測,2019-05-13,新竹市,香山區,新竹市中華路六段與香山聯絡道路口,落地型變壓器,7.58,mG,True
V00986,台東之聲廣播電台,2019-05-22,臺東縣,台東市,四維路三段11號16樓樓頂,FM廣播電臺,0.01613,mW/cm<sup>2</sup>,True
I00762,中山路378號前落地型變壓器,2019-05-10,嘉義市,東區,中山路378號,落地型變壓器,45.52,mG,True
